time,open,high,low,close,volume
2020-01-06,0.0184,0.0189,0.018337,0.018576,144012.137
2020-01-07,0.018577,0.018586,0.017515,0.017528,167537.543
2020-01-08,0.017528,0.01753,0.016958,0.017472,192643.264
2020-01-09,0.017472,0.017705,0.017319,0.017618,122471.471
2020-01-10,0.01762,0.01797,0.017455,0.017675,155796.316
2020-01-11,0.017672,0.018061,0.017503,0.017753,119027.533
2020-01-12,0.017753,0.017927,0.017625,0.017906,91872.284
2020-01-13,0.017904,0.017945,0.01757,0.017703,89804.749
2020-01-14,0.017704,0.019324,0.017364,0.018799,345535.618
2020-01-15,0.018799,0.01945,0.018412,0.01887,246283.406
2020-01-16,0.018864,0.018946,0.018401,0.018829,149250.898
2020-01-17,0.018827,0.019425,0.018687,0.019064,215287.996
2020-01-18,0.019064,0.020039,0.01873,0.019529,237676.841
2020-01-19,0.019529,0.019668,0.018877,0.019172,196376.677
2020-01-20,0.019171,0.019408,0.01888,0.019306,96873.191
2020-01-21,0.019307,0.019536,0.019179,0.019396,106263.574
2020-01-22,0.019397,0.019535,0.019204,0.019357,82001.798
2020-01-23,0.019359,0.019535,0.019115,0.01937,116684.039
2020-01-24,0.019371,0.019428,0.01883,0.019262,107081.072
2020-01-25,0.01926,0.019362,0.018989,0.019226,60166.675
2020-01-26,0.019225,0.019553,0.01916,0.019489,78580.981
2020-01-27,0.019489,0.019538,0.01905,0.019089,111610.214
2020-01-28,0.019088,0.019167,0.018705,0.018735,148049.413
2020-01-29,0.018732,0.019059,0.018652,0.018675,101111.146
2020-01-30,0.018677,0.019544,0.018505,0.019411,154476.014
2020-01-31,0.019412,0.01955,0.019001,0.019243,125464.346
2020-02-01,0.019244,0.019584,0.019168,0.019565,106094.063
2020-02-02,0.019564,0.020439,0.019431,0.020188,185726.589
2020-02-03,0.020189,0.020535,0.020122,0.02042,145555.184
2020-02-04,0.020418,0.020575,0.02013,0.020544,137229.903
2020-02-05,0.020542,0.02144,0.020468,0.021199,204662.351
2020-02-06,0.0212,0.021976,0.021073,0.021815,244864.696
2020-02-07,0.021816,0.022825,0.02181,0.022757,263697.708
2020-02-08,0.022765,0.023156,0.022082,0.022537,252956.094
2020-02-09,0.022541,0.022865,0.022297,0.022515,170890.092
2020-02-10,0.022513,0.022812,0.022063,0.022625,218087.353
2020-02-11,0.022626,0.023299,0.022352,0.023153,248833.603
2020-02-12,0.023154,0.0265,0.023143,0.025733,424982.643
2020-02-13,0.025732,0.026849,0.02513,0.026231,389521.236
2020-02-14,0.026231,0.027743,0.025744,0.027572,314186.604
2020-02-15,0.027572,0.027844,0.026585,0.026743,395849.912
2020-02-16,0.026742,0.02739,0.02455,0.026105,367016.144
2020-02-17,0.02611,0.027658,0.02488,0.0276,346650.133
2020-02-18,0.0276,0.0285,0.026953,0.0278,361827.6
2020-02-19,0.0278,0.028112,0.026678,0.026936,226206.973
2020-02-20,0.026937,0.027412,0.025915,0.026779,264457.907
2020-02-21,0.026781,0.027549,0.026502,0.027405,178330.937
2020-02-22,0.027408,0.027495,0.026775,0.027101,114864.683
2020-02-23,0.027096,0.027651,0.027003,0.027619,141481.417
2020-02-24,0.027628,0.027799,0.027079,0.027509,191261.041
2020-02-25,0.027509,0.027539,0.026423,0.026488,189387.359
2020-02-26,0.026475,0.0267,0.0248,0.025489,344008.309
2020-02-27,0.025487,0.026631,0.024566,0.025805,317644.438
2020-02-28,0.025813,0.02637,0.02527,0.026088,206817.701
2020-02-29,0.026087,0.026593,0.025457,0.025505,129398.098
2020-03-01,0.025498,0.026054,0.025139,0.02551,161289.309
2020-03-02,0.02552,0.026299,0.025401,0.026029,170137.427
2020-03-03,0.02603,0.02614,0.025409,0.025555,154141.252
2020-03-04,0.025556,0.025952,0.025391,0.025627,128795.64
2020-03-05,0.025627,0.025765,0.025008,0.025221,159601.18
2020-03-06,0.025221,0.026846,0.025188,0.026827,208879.412
2020-03-07,0.02682,0.027495,0.026612,0.026692,214318.163
2020-03-08,0.026692,0.026695,0.024458,0.024815,329411.459
2020-03-09,0.024818,0.026172,0.024681,0.025575,344665.082
2020-03-10,0.025572,0.025717,0.025057,0.025424,217683.327
2020-03-11,0.025424,0.025581,0.0239,0.024532,214022.678
2020-03-12,0.024526,0.024574,0.020995,0.02241,932675.792
2020-03-13,0.022411,0.025369,0.021803,0.024048,1396957.115
2020-03-14,0.024057,0.024434,0.023469,0.02367,376290.077
2020-03-15,0.023671,0.023822,0.022214,0.023087,329787.791
2020-03-16,0.023084,0.0233,0.021804,0.022076,576196.175
2020-03-17,0.022076,0.02257,0.021556,0.021771,272079.264
2020-03-18,0.021771,0.02203,0.021599,0.02189,349440.113
2020-03-19,0.021893,0.022353,0.021563,0.022124,505376.144
2020-03-20,0.02212,0.02277,0.020427,0.021498,488626.267
2020-03-21,0.021497,0.021582,0.021111,0.021434,209970.85
2020-03-22,0.021433,0.021527,0.020813,0.021026,187871.71
2020-03-23,0.021029,0.021327,0.02046,0.02101,233904.724
2020-03-24,0.021016,0.021137,0.020469,0.020529,231568.444
2020-03-25,0.020526,0.021083,0.020302,0.020377,227025.723
2020-03-26,0.020377,0.020655,0.020191,0.020546,195836.059
2020-03-27,0.020548,0.020777,0.020299,0.020648,208257.58
2020-03-28,0.020647,0.02135,0.020506,0.020996,270428.242
2020-03-29,0.020997,0.021274,0.020868,0.021158,151940.315
2020-03-30,0.021158,0.021299,0.02046,0.020657,234769.35
2020-03-31,0.020659,0.020851,0.020406,0.020704,167722.332
2020-04-01,0.020706,0.021156,0.02039,0.02042,230553.796
2020-04-02,0.020422,0.021112,0.02042,0.020797,292585.437
2020-04-03,0.020797,0.021077,0.020757,0.02099,209258.855
2020-04-04,0.020992,0.021229,0.020813,0.021015,199334.167
2020-04-05,0.021015,0.021199,0.020966,0.021063,112856.479
2020-04-06,0.021068,0.023444,0.021013,0.023375,485374.047
2020-04-07,0.023377,0.023717,0.022744,0.022872,437355.06
2020-04-08,0.022872,0.023588,0.022772,0.023517,245944.443
2020-04-09,0.02352,0.023584,0.023209,0.023275,159752.851
2020-04-10,0.02328,0.02334,0.022426,0.023003,354426.063
2020-04-11,0.023008,0.023267,0.022744,0.023022,159144.829
2020-04-12,0.023022,0.023212,0.022814,0.022979,169498.436
2020-04-13,0.022977,0.023118,0.0226,0.022856,256938.773
2020-04-14,0.022856,0.023273,0.022818,0.023072,171933.66
2020-04-15,0.023069,0.023394,0.022856,0.023067,269213.196
2020-04-16,0.023067,0.024737,0.022886,0.024262,401814.38
2020-04-17,0.024267,0.024479,0.023877,0.024285,191044.493
2020-04-18,0.024285,0.026028,0.024275,0.025855,296751.14
2020-04-19,0.025854,0.025993,0.024931,0.025282,281345.082
2020-04-20,0.025276,0.025866,0.024681,0.024928,325383.188
2020-04-21,0.024928,0.025304,0.024811,0.024955,194026.315
2020-04-22,0.024956,0.025741,0.024894,0.025647,220752.192
2020-04-23,0.025647,0.026023,0.0246,0.024795,417281.373
2020-04-24,0.024798,0.0251,0.02475,0.02499,215051.111
2020-04-25,0.024993,0.025932,0.024916,0.025763,215679.388
2020-04-26,0.025763,0.025967,0.025505,0.025659,157571.514
2020-04-27,0.025664,0.025697,0.024875,0.025259,228940.967
2020-04-28,0.025252,0.025493,0.025101,0.025361,176378.605
2020-04-29,0.02536,0.026,0.024199,0.024534,451019.414
2020-04-30,0.024536,0.024663,0.02361,0.023895,376714.498
2020-05-01,0.023898,0.024367,0.023864,0.024022,196096.695
2020-05-02,0.024021,0.02417,0.023779,0.02384,175287.109
2020-05-03,0.023839,0.024004,0.023419,0.023592,157352.454
2020-05-04,0.023594,0.023679,0.02274,0.023282,208133.334
2020-05-05,0.023279,0.023446,0.022722,0.022753,150319.264
2020-05-06,0.022757,0.023096,0.0217,0.02176,230881.873
2020-05-07,0.021758,0.022274,0.021047,0.021236,334674.158
2020-05-08,0.021232,0.021666,0.021183,0.021573,226721.451
2020-05-09,0.02157,0.022049,0.021486,0.022024,194237.967
2020-05-10,0.022027,0.022968,0.021363,0.021506,324042.391
2020-05-11,0.021504,0.021774,0.020967,0.021691,230659.372
2020-05-12,0.021695,0.021823,0.021323,0.021536,165469.726
2020-05-13,0.021536,0.02173,0.021115,0.021442,215400.098
2020-05-14,0.021441,0.02145,0.020483,0.020761,246046.086
2020-05-15,0.020763,0.021325,0.020682,0.020912,310301.16
2020-05-16,0.02091,0.021521,0.020868,0.02137,225249.033
2020-05-17,0.021369,0.02154,0.020931,0.02139,196590.996
2020-05-18,0.021387,0.022263,0.021314,0.022082,271882.904
2020-05-19,0.022082,0.02216,0.021801,0.021951,145515.283
2020-05-20,0.021948,0.022178,0.02162,0.022079,148572.944
2020-05-21,0.022076,0.022259,0.02174,0.021919,200407.543
2020-05-22,0.021917,0.022714,0.021822,0.022614,193928.573
2020-05-23,0.022614,0.022794,0.022446,0.022502,156020.655
2020-05-24,0.022504,0.023204,0.0225,0.022928,203861.529
2020-05-25,0.022924,0.023244,0.02287,0.022937,187357.415
2020-05-26,0.022937,0.023035,0.022598,0.022725,186630.46
2020-05-27,0.022726,0.023024,0.022421,0.022634,183891.192
2020-05-28,0.022634,0.023006,0.022135,0.023,213469.37
2020-05-29,0.023,0.02355,0.023,0.023407,212933.132
2020-05-30,0.023406,0.025601,0.023334,0.025128,282033.336
2020-05-31,0.025126,0.025393,0.024439,0.024511,269739.631
2020-06-01,0.024507,0.025275,0.024113,0.024337,268852.501
2020-06-02,0.024338,0.025224,0.023945,0.024977,286540.628
2020-06-03,0.024975,0.025371,0.02478,0.025305,168495.386
2020-06-04,0.025305,0.025489,0.024478,0.024843,227594.639
2020-06-05,0.024842,0.025155,0.024717,0.02495,143537.776
2020-06-06,0.02495,0.025199,0.024886,0.025028,129871.394
2020-06-07,0.025024,0.02518,0.024716,0.02509,186186.658
2020-06-08,0.025092,0.025273,0.024925,0.025193,138261.531
2020-06-09,0.025193,0.0255,0.024854,0.024948,168627.415
2020-06-10,0.024948,0.025152,0.02482,0.025067,194762.077
2020-06-11,0.025067,0.025191,0.024574,0.024837,257166.348
2020-06-12,0.024842,0.0252,0.024682,0.025098,155475.357
2020-06-13,0.025098,0.02528,0.024985,0.025138,114441.097
2020-06-14,0.025137,0.025226,0.024807,0.024809,124583.069
2020-06-15,0.024809,0.024844,0.024251,0.024493,235774.244
2020-06-16,0.024492,0.024747,0.024303,0.024702,159193.271
2020-06-17,0.024701,0.02485,0.02457,0.024702,147845.024
2020-06-18,0.024704,0.024831,0.024442,0.024638,133198.199
2020-06-19,0.024642,0.02472,0.024381,0.024598,154175.311
2020-06-20,0.024597,0.024725,0.024405,0.024457,111457.048
2020-06-21,0.024459,0.024648,0.02443,0.024534,108685.39
2020-06-22,0.024534,0.02564,0.0245,0.025102,327600.973
2020-06-23,0.025102,0.025337,0.025026,0.025263,234531.721
2020-06-24,0.025264,0.02582,0.025041,0.025233,330356.536
2020-06-25,0.025233,0.025347,0.025087,0.025136,220984.786
2020-06-26,0.025137,0.025222,0.025019,0.025065,236119.507
2020-06-27,0.025062,0.025162,0.024158,0.024516,223380.316
2020-06-28,0.024514,0.024822,0.0244,0.02467,177716.318
2020-06-29,0.024668,0.024899,0.024415,0.024804,230606.504
2020-06-30,0.024801,0.024883,0.024537,0.024685,172328.455
2020-07-01,0.024685,0.025086,0.02458,0.02502,203342.865
2020-07-02,0.025021,0.025066,0.024745,0.024925,222122.814
2020-07-03,0.024925,0.025015,0.024795,0.024829,159438.984
2020-07-04,0.024827,0.025105,0.024807,0.025085,152201.091
2020-07-05,0.025092,0.025141,0.024854,0.025087,142929.769
2020-07-06,0.025084,0.025874,0.025033,0.025862,302794.406
2020-07-07,0.025864,0.02603,0.025445,0.025859,246175.728
2020-07-08,0.025856,0.026368,0.02575,0.026174,388685.079
2020-07-09,0.026172,0.026304,0.025912,0.026206,232875.229
2020-07-10,0.026207,0.026224,0.025831,0.025973,180654.112
